date,Los Angeles,New York,San Diego,Dallas,San Francisco,Boston,Atlanta,Miami,Tampa,Honolulu,U.S.
2023-07-09,-5.293333333333333,2.2220833333333325,-5.936666666666667,8.155,-19.891666666666662,10.0475,6.642108333333333,14.573333333333332,13.035833333333333,20.8,12.39
2023-07-02,-5.333333333333334,2.397083333333333,-5.840833333333333,8.917666666666667,-20.041666666666664,9.368333333333334,7.1587749999999994,14.89,12.919166666666667,20.51666666666667,12.323333333333334
2023-06-25,-4.531,2.3779166666666662,-5.541666666666667,8.735166666666666,-19.20833333333333,7.668333333333334,8.9135,15.783333333333333,13.05,19.783333333333335,12.620833333333334
2023-06-18,-4.660166666666667,2.6704166666666658,-4.8975,8.688500000000001,-17.915,8.634166666666667,8.490833333333333,16.35,13.158333333333333,20.208333333333332,12.754166666666666
2023-06-11,-4.959333333333333,2.1291666666666655,-5.219166666666666,8.431,-17.915,9.66,8.755833333333333,16.25,12.625833333333333,19.291666666666664,12.545833333333334
2023-06-04,-5.142666666666667,1.3274999999999992,-5.516666666666667,8.956,-17.756666666666664,8.583583333333333,8.642499999999998,16.083333333333332,12.834166666666667,20.116666666666667,12.570833333333335
2023-05-28,-5.324333333333334,1.0324999999999993,-5.1611666666666665,8.080166666666667,-17.131666666666664,6.354416666666666,8.7091666666666665,15.691666666666668,11.7025,20.058333333333334,12.237499999999999
2023-05-21,-5.271833333333333,0.06749999999999923,-4.732,7.8901666666666666,-15.848333333333334,6.136916666666667,8.756666666666666,15.683333333333332,11.310833333333333,19.650000000000002,12.295833333333334
2023-05-14,-5.4285,-0.6491666666666673,-4.603666666666666,7.8934999999999995,-15.334166666666665,5.13775,8.511666666666667,15.758333333333333,10.735833333333334,19.733333333333334,12.404166666666667
2023-05-07,-4.930478333333333,-1.0641666666666674,-4.587,7.9301666666666675,-15.134166666666665,4.2577500000000015,8.311666666666666,16.1,10.02,19.208333333333336,12.520833333333334
2023-04-30,-4.118811666666667,-1.3675000000000006,-3.9994999999999994,8.635833333333332,-14.150833333333331,4.06275,8.660833333333333,16.566666666666666,10.666666666666668,20.05,13.25
2023-04-23,-4.042978333333334,-2.6825000000000006,-4.368666666666666,7.679916666666667,-13.767499999999998,3.461916666666667,9.09,16.208333333333332,10.543333333333333,19.474999999999998,12.866666666666667
2023-04-16,-3.7204783333333333,-2.3991666666666673,-4.127833333333333,7.829916666666667,-12.970833333333331,4.145250000000001,9.796666666666667,16.516666666666666,11.243333333333332,20.7,13.358333333333333
2023-04-09,-3.6563116666666664,-3.110916666666667,-4.123666666666667,7.813250000000001,-11.568333333333332,4.73275,10.741666666666665,16.808333333333334,11.735000000000001,21.716666666666665,13.358333333333333
2023-04-02,-4.399478333333334,-2.3384166666666673,-4.6961666666666675,8.357416666666667,-11.568333333333332,7.191083333333334,9.620833333333332,15.570833333333331,12.004166666666666,21.625000000000004,13.383333333333333
2023-03-26,-5.033645000000001,-2.9225833333333338,-6.145333333333333,6.894916666666666,-13.936666666666667,5.538583333333333,9.035,13.634166666666667,11.103333333333333,20.599999999999998,12.136166666666666
2023-03-19,-4.4837283333333335,-1.1175833333333338,-5.5445,7.6040833333333335,-13.111666666666666,5.805250000000001,9.296666666666665,14.275833333333331,12.052499999999998,20.474999999999998,12.852833333333333
2023-03-12,-5.183728333333334,-1.2259166666666674,-6.464499999999999,4.879083333333333,-13.136666666666667,6.005000000000002,7.925,12.359166666666665,9.794166666666666,19.375,11.212
2023-03-05,-5.031228333333334,-1.2192500000000004,-6.723333333333333,5.264083333333333,-13.294999999999998,7.5341666666666685,8.25,12.325833333333332,10.2675,19.983333333333334,11.337000000000002
2023-02-26,-5.3028949999999995,-0.3242500000000004,-7.617500000000001,4.93075,-14.245,6.958166666666668,8.158333333333333,11.3225,9.850833333333332,20.425,11.153666666666668
2023-02-19,-5.472061666666667,0.21403333333333288,-8.310833333333333,4.239916666666666,-15.467499999999998,7.876500000000002,8.411666666666665,9.656999999999998,9.390833333333333,19.983333333333334,10.7345
2023-02-12,-5.839249999999999,1.5206999999999993,-8.345,4.157416666666667,-14.713333333333331,7.135666666666668,8.478333333333332,8.923666666666668,9.5216666666666665,19.75,10.5845
2023-02-05,-6.263416666666667,2.531533333333333,-8.445,3.216583333333333,-14.165833333333333,7.079000000000001,8.166666666666666,7.872833333333333,9.125833333333333,19.391666666666666,10.251166666666666
2023-01-29,-6.68675,3.534033333333333,-8.425,3.950833333333333,-13.576666666666664,7.4173333333333344,7.801666666666667,7.205333333333332,9.0725,19.483333333333334,10.384500000000001
2023-01-22,-7.785916666666666,3.716616666666666,-9.395833333333332,2.625833333333333,-14.314999999999998,4.6256666666666675,6.331666666666666,5.298666666666666,7.428333333333333,18.275,9.447833333333334
2023-01-15,-7.680083333333333,3.8308666666666666,-9.255833333333333,2.515,-14.486666666666666,5.017333333333334,6.239999999999999,4.501999999999998,6.9783333333333335,17.733333333333334,9.581166666666666
2023-01-08,-7.612583333333333,3.546699999999999,-9.111666666666666,2.23,-14.586666666666668,3.6169166666666674,6.452499999999999,4.762,6.278333333333333,17.816666666666666,9.572833333333335
2023-01-01,-7.055916666666666,3.598366666666666,-8.514166666666668,3.4133333333333336,-13.028333333333334,4.076916666666667,8.927499999999998,5.630333333333333,7.153333333333334,18.616666666666667,10.478333333333333
